
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:32:17.605Z
outside temperature, 11.7, 2024-11-02T11:27:57.328Z, 2024-11-02T11:32:17.605Z
supply temperature, 27.8, 2024-11-02T11:31:13.021Z, 2024-11-02T11:32:47.925Z
return temperature, 23.7, 2024-11-02T11:31:57.668Z, 2024-11-02T11:32:47.925Z
volumetric flow, 1228, 2024-11-02T11:32:17.902Z, 2024-11-02T11:32:47.925Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:32:47.925Z
outside temperature, 11.7, 2024-11-02T11:27:57.328Z, 2024-11-02T11:32:47.925Z
supply temperature, 27.8, 2024-11-02T11:31:13.021Z, 2024-11-02T11:33:17.926Z
return temperature, 23.7, 2024-11-02T11:31:57.668Z, 2024-11-02T11:33:17.926Z
volumetric flow, 1228, 2024-11-02T11:32:17.902Z, 2024-11-02T11:33:17.926Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:33:17.926Z
outside temperature, 11.7, 2024-11-02T11:27:57.328Z, 2024-11-02T11:33:17.926Z
supply temperature, 27.8, 2024-11-02T11:33:18.827Z, 2024-11-02T11:33:47.931Z
return temperature, 23.7, 2024-11-02T11:31:57.668Z, 2024-11-02T11:33:47.931Z
volumetric flow, 1221, 2024-11-02T11:33:47.341Z, 2024-11-02T11:33:47.931Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:33:47.931Z
outside temperature, 11.7, 2024-11-02T11:27:57.328Z, 2024-11-02T11:33:47.931Z
supply temperature, 27.8, 2024-11-02T11:33:18.827Z, 2024-11-02T11:34:18.128Z
return temperature, 23.7, 2024-11-02T11:31:57.668Z, 2024-11-02T11:34:18.128Z
volumetric flow, 1221, 2024-11-02T11:33:47.341Z, 2024-11-02T11:34:18.128Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:34:18.128Z
outside temperature, 11.7, 2024-11-02T11:27:57.328Z, 2024-11-02T11:34:18.128Z
supply temperature, 27.8, 2024-11-02T11:33:18.827Z, 2024-11-02T11:34:48.131Z
return temperature, 23.7, 2024-11-02T11:31:57.668Z, 2024-11-02T11:34:48.131Z
volumetric flow, 1221, 2024-11-02T11:33:47.341Z, 2024-11-02T11:34:48.131Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:34:48.131Z
outside temperature, 11.7, 2024-11-02T11:27:57.328Z, 2024-11-02T11:34:48.131Z
supply temperature, 27.7, 2024-11-02T11:35:17.557Z, 2024-11-02T11:35:18.141Z
return temperature, 23.8, 2024-11-02T11:35:08.606Z, 2024-11-02T11:35:18.141Z
volumetric flow, 1227, 2024-11-02T11:35:17.557Z, 2024-11-02T11:35:18.141Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:35:18.141Z
outside temperature, 11.7, 2024-11-02T11:34:28.716Z, 2024-11-02T11:35:18.141Z
supply temperature, 27.7, 2024-11-02T11:35:17.557Z, 2024-11-02T11:35:48.333Z
return temperature, 23.8, 2024-11-02T11:35:08.606Z, 2024-11-02T11:35:48.333Z
volumetric flow, 1227, 2024-11-02T11:35:17.557Z, 2024-11-02T11:35:48.333Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:35:48.333Z
outside temperature, 11.7, 2024-11-02T11:34:28.716Z, 2024-11-02T11:35:48.333Z
supply temperature, 27.7, 2024-11-02T11:35:17.557Z, 2024-11-02T11:36:18.341Z
return temperature, 23.8, 2024-11-02T11:35:08.606Z, 2024-11-02T11:36:18.341Z
volumetric flow, 1227, 2024-11-02T11:35:17.557Z, 2024-11-02T11:36:18.341Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:36:18.341Z
outside temperature, 11.7, 2024-11-02T11:34:28.716Z, 2024-11-02T11:36:18.341Z
supply temperature, 27.7, 2024-11-02T11:36:14.369Z, 2024-11-02T11:36:48.350Z
return temperature, 23.8, 2024-11-02T11:35:08.606Z, 2024-11-02T11:36:48.350Z
volumetric flow, 1228, 2024-11-02T11:36:46.849Z, 2024-11-02T11:36:48.350Z
power consumption, 1.7, 2024-11-02T11:35:22.813Z, 2024-11-02T11:36:48.350Z
outside temperature, 11.7, 2024-11-02T11:34:28.716Z, 2024-11-02T11:36:48.350Z
supply temperature, 27.7, 2024-11-02T11:36:14.369Z, 2024-11-02T11:37:18.562Z
return temperature, 23.8, 2024-11-02T11:35:08.606Z, 2024-11-02T11:37:18.562Z
volumetric flow, 1228, 2024-11-02T11:36:46.849Z, 2024-11-02T11:37:18.562Z
power consumption, 1.7, 2024-11-02T11:35:22.813Z, 2024-11-02T11:37:18.562Z
outside temperature, 11.7, 2024-11-02T11:34:28.716Z, 2024-11-02T11:37:18.562Z
supply temperature, 27.7, 2024-11-02T11:36:14.369Z, 2024-11-02T11:37:48.573Z
return temperature, 23.8, 2024-11-02T11:35:08.606Z, 2024-11-02T11:37:48.573Z
volumetric flow, 1228, 2024-11-02T11:36:46.849Z, 2024-11-02T11:37:48.573Z
power consumption, 1.7, 2024-11-02T11:35:22.813Z, 2024-11-02T11:37:48.573Z
outside temperature, 11.7, 2024-11-02T11:34:28.716Z, 2024-11-02T11:37:48.573Z
supply temperature, 27.7, 2024-11-02T11:37:59.996Z, 2024-11-02T11:38:18.581Z
return temperature, 23.8, 2024-11-02T11:38:16.241Z, 2024-11-02T11:38:18.581Z
volumetric flow, 1221, 2024-11-02T11:38:16.241Z, 2024-11-02T11:38:18.581Z
power consumption, 1.7, 2024-11-02T11:35:22.813Z, 2024-11-02T11:38:18.581Z
outside temperature, 11.8, 2024-11-02T11:38:16.241Z, 2024-11-02T11:38:18.581Z
